obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Blink, Derived, totPwr, class 
66,64.7,2717975,130488,9372,35261,18853,7231,4009,3827,29,61,52,0.06,2927016,  X*
67,65.7,454130,177689,33908,12170,31719,15318,8322,3289,27,53, NA,0.21,736545,  X*
68,66.7,536471,44703,2262,4754,3391,1362,1128,1223,34,48, NA,0.06,595294,  X*
69,67.7,135553,39102,6610,18264,20864,4986,4329,4689,29,38, NA,0.17,234397,  X*
70,68.7,71800,16117,5625,7837,3388,3798,682,978,38,47, NA,0.23,110225,  X*
71,69.7,309298,156427,5331,4223,5829,9105,23443,10885,37,34,41,0.1,524541,  X*
72,70.7,23136,11915,16543,25250,16511,12830,6398,3968,53,53, NA,0.38,116551,  X*
73,71.7,31233,19535,5995,14346,8633,12128,4277,1657,64,56, NA,0.25,97804,  X*
74,72.7,77995,6044,1602,4362,3255,2691,6098,1540,69,54, NA,0.12,103587,  X*
75,73.7,781346,70453,62114,47111,30509,16494,18033,20771,75,84, NA,0.24,1046831,  X*
76,74.7,504416,134600,27885,4702,18234,12670,2935,3364,66,66,36,0.2,708806,  X*
77,75.6,173438,30014,12934,5442,14585,2922,589,1222,53,64, NA,0.23,241146,  X*
78,76.6,54643,8924,12772,2537,4947,7291,2169,579,56,67, NA,0.37,93862,  X*
79,77.6,61263,20958,18190,31806,22595,14107,2609,3514,61,66,44,0.32,175042,  X*
80,78.6,238099,87274,23175,16798,7978,3607,2655,2967,53,74, NA,0.25,382553,  X*
81,79.6,381151,98537,19640,5721,9630,10245,6524,2203,56,67, NA,0.19,533651,  X*
82,80.6,78314,19581,3359,5790,5171,3935,4142,15845,48,57, NA,0.16,136137,  X*
83,81.6,731235,47324,25510,22393,32237,12098,10741,11088,44,53, NA,0.17,892626,  X*
84,82.6,105196,28544,4586,18101,10647,10388,9679,8505,61,54, NA,0.15,195646,  X*
85,83.6,15579,3566,836,4022,4505,4189,4754,3694,75,61, NA,0.14,41145,  X*
86,84.6,4332,17077,1033,7017,9472,6971,11956,3567,81,60, NA,0.13,61425,  X*
87,85.6,106080,18803,24405,4482,2957,7227,4049,2614,83,66, NA,0.38,170617,  X*
88,86.6,16689,6807,1957,5623,4196,2253,1524,1539,80,69, NA,0.22,40588,  X*
89,88.6,8957,2646,5530,1625,2865,5140,2347,2142,81,74, NA,0.42,31252,  X*
90,90.5,1810971,308018,45992,93330,21373,11958,17527,7407,63,70, NA,0.14,2316576,  X*
91,91.5,108112,27706,2400,832,1165,1215,735,760,51,53, NA,0.13,142925,  X*
92,92.2,1966297,263505,102498,115010,41231,11565,29187,26618,26,53,49,0.2,2555911,  X*
93,93.5,1106071,51686,24748,4945,9276,2271,2122,4378,13,54,35,0.14,1205497,  X*
94,94.5,1068637,41428,36087,5192,6372,2339,1713,2236,13,61, NA,0.18,1164004,  X*
95,95.5,96450,64539,32682,3919,9357,8632,11285,17222,20,77, NA,0.37,244086,  X*
96,96.5,114882,52796,14248,7972,11876,4720,5860,2664,27,67, NA,0.26,215018,  X*
97,97.5,9523,12053,3816,6177,7623,9960,5403,4227,50,64, NA,0.25,58782,  X*
98,98.5,7566,39315,5125,4506,4817,7457,3570,2941,63,48, NA,0.26,75297,  X*
99,99.5,25093,22203,1990,8513,7120,2558,3270,5037,61,47, NA,0.16,75784,  X*
100,100.5,27368,28302,5726,2729,5007,5605,4475,1205,69,43,39,0.27,80417,  X*
101,101.4,42253,12840,7343,3260,15953,9302,6339,4387,67,41, NA,0.27,101677,  X*
102,102.4,288992,144744,6927,8986,8326,20942,5489,4407,67,34, NA,0.12,488813,  X*
103,103.4,50219,5674,3639,6921,2864,2798,2011,573,74,44, NA,0.22,74699,  X*
104,104.4,55692,57509,16857,25671,15567,5876,3673,5350,66,53, NA,0.3,186195,  X*
105,105.4,26010,74011,13357,8489,17872,9942,3147,4306,54,51, NA,0.29,157134,  X*
106,106.4,132361,56208,13136,10095,22628,5654,2553,1825,50,61, NA,0.23,244460,  X*
107,107.4,12782,20894,1118,7155,14170,14562,7627,7330,57,44, NA,0.11,85638,  X*
108,108.4,21216,14703,4023,5273,2376,5257,5257,5386,69,43, NA,0.25,63491,  X*
109,109.4,65775,9921,3967,2418,3219,5407,4196,1994,80,47, NA,0.2,96897,  X*
110,110.4,6446,14485,1610,7740,6582,6585,4532,1114,90,50,33,0.18,49094,  X*
111,111.4,52707,18603,8292,1826,3303,2953,2629,2680,77,57, NA,0.3,92993,  X*
112,112.4,19308,30297,4545,6550,4431,5657,14333,5591,70,53, NA,0.22,90712,  X*
113,113.3,186298,35873,1244,9509,1763,1021,296,745,50,51, NA,0.07,236749,  X*
114,114.4,1353557,95250,12692,22758,13181,5980,1829,1878,37,50, NA,0.09,1507125,  X*
115,115.3,138967,124185,5682,10138,5891,3713,3856,1884,24,38, NA,0.14,294316,  X*
116,116.3,25587,4440,3451,5532,2650,3290,3301,1007,29,50, NA,0.26,49258,  X*
117,117.3,111894,137804,48608,21626,9135,31628,7824,4090,44,54,35,0.36,372609,  X*
118,118.3,189988,25906,3811,6268,7426,1988,2508,1167,48,51, NA,0.13,239062,  X*
119,119.3,258754,74380,5863,6384,6731,3646,1461,1167,51,53,42,0.13,358386,  X*
120,120.3,718058,148645,26506,20510,53671,16361,8216,5876,44,40, NA,0.16,997843,  X*
121,121.3,1041631,238097,10173,43490,29349,12510,8208,8837,34,30, NA,0.09,1392295,  X*
122,122.3,132186,7736,3048,4378,17215,7035,4521,2030,50,29, NA,0.13,178149,  X*
123,123.3,394404,65100,19492,4326,20476,16410,15701,12944,63,35, NA,0.19,548853,  X*
124,124.3,32937,64150,14221,12399,2800,24072,11820,8076,70,38, NA,0.29,170475,  X*
125,125.3,126633,167399,23663,17763,7621,14108,6256,3688,75,40, NA,0.25,367131,  X*
126,126.3,132966,7692,4572,6704,3017,1009,1151,562,57,54, NA,0.17,157673,  X*
127,127.3,29433,54123,12300,2633,11836,4954,2705,1946,50,53, NA,0.32,119930,  X*
128,128.2,41576,25382,8907,2639,9867,4810,1574,1328,43,54, NA,0.3,96083,  X*
129,129.2,56184,143076,14095,4114,11792,3867,4260,3140,35,48,48,0.24,240528,  X*
130,130.2,156880,47967,15170,13557,6395,5417,3155,897,38,41, NA,0.25,249438,  X*
131,131.2,225738,284413,7183,93601,25407,17662,9399,2914,35,44,34,0.1,666317,  X*
132,132.1,654362,111527,4255,4096,8691,3694,3100,3950,23,29,31,0.07,793675,  X*
133,133.2,151434,57956,39236,11045,7742,3638,3912,1715,26,48,36,0.38,276678,  X*
134,134.2,251119,123316,23684,29557,19637,5917,6806,3342,20,44, NA,0.23,463378,  X*
135,135.2,114754,35398,29771,5566,10168,4958,3111,1901,23,51, NA,0.38,205627,  X*
136,136.2,698642,56737,23444,21457,14338,6267,7939,5905,27,74, NA,0.17,834729,  X*
137,137.2,597165,120025,11548,21228,30476,13512,9228,15923,37,61,57,0.12,819105,  X*
138,138.2,2091307,672904,56083,57217,42188,9858,10275,6145,27,53,41,0.14,2945977,  X*
139,139.2,463069,35950,14145,21743,8910,14496,9853,23380,38,51, NA,0.15,591546,  X*
140,140.2,99366,21169,7863,17545,5062,3833,1066,2542,40,56, NA,0.22,158446,  X*
141,141.2,103812,89953,6118,19553,19588,23084,3878,1766,47,53, NA,0.15,267752,  X*
142,142.1,61652,49629,38699,6759,23639,9815,3007,4401,63,67,51,0.44,197601,  X*
143,143.1,315601,44675,19698,24669,5834,10840,9391,5132,57,69, NA,0.21,435840,  X*
144,144.1,226844,137243,19619,32354,19513,7079,8275,8481,51,60, NA,0.21,459408,  X*
145,145.1,114115,24963,30524,6495,11909,16346,14680,12117,54,75,40,0.36,231149,  X*
146,146.1,243522,148870,18400,36045,55758,7595,7559,10058,47,66, NA,0.19,527807,  X*
147,147.1,205468,64180,33931,28797,22498,10159,4191,4493,41,66, NA,0.3,373717,  X*
148,148.1,28568,41294,5884,2946,9704,3976,3164,2492,48,60, NA,0.24,98028,  X*
149,149.1,114708,63477,9715,3637,10343,17200,6841,6134,47,43, NA,0.2,232055,  X*
150,150.1,51344,43948,4459,3862,645,1659,901,616,47,40, NA,0.2,107434,  X*
151,151.1,439416,88665,27306,37644,27749,21341,7102,4034,51,35, NA,0.2,653257,  X*
152,152.1,25794,16367,5776,7307,10106,8087,2988,3647,60,43, NA,0.27,80072,  X*
153,153.1,131653,190119,17188,52577,14503,9884,2555,4317,47,51,61,0.2,422796,  X*
154,154,193341,7904,3990,3041,2189,2655,1690,297,60,61, NA,0.14,215107,  X*
155,155,33588,8547,4477,3615,3323,1851,1837,574,57,64,91,0.28,57812,  X*
156,156,614350,24527,5487,3165,786,721,360,323,37,64, NA,0.09,649719,  X*
157,157,30401,60347,15591,14918,8151,6803,3027,6093,41,66, NA,0.33,145331,  X*
158,158,17285,12413,10083,3920,5652,5278,3477,1766,43,67, NA,0.41,59874,  X*
159,159,38017,11530,23138,6808,10971,8090,3305,4328,48,74, NA,0.47,106187,  X*
160,160,122239,7841,908,3234,1946,2231,863,1324,66,74, NA,0.08,140586,  X*
161,161,107072,33462,8090,3634,3217,2535,3050,2190,64,70, NA,0.22,163250,  X*
162,162,73068,12915,17160,13593,4930,4024,3333,1931,57,81, NA,0.36,130954,  X*
163,163,233314,93065,13230,27996,25050,12602,3797,4724,51,69,53,0.18,413778,  X*
164,164,317743,190080,14739,44436,9292,10785,7575,5894,40,66, NA,0.16,600544,  X*
165,165,150586,61533,13254,27801,5159,7514,3266,921,41,74, NA,0.22,270034,  X*
166,166,81699,30719,3902,1452,3786,2722,3034,935,40,48, NA,0.17,128249,  X*
167,166.9,58963,9224,7600,7301,4159,3938,1175,1250,44,57, NA,0.28,93610,  X*
168,167.9,18472,41238,1900,6419,4114,3690,1047,573,50,53, NA,0.16,77453,  X*
169,168.9,16259,18495,7903,3387,3658,2088,1364,1318,50,53, NA,0.38,54472,  X*
170,169.9,7947,3974,2913,8044,2240,1957,859,531,54,77, NA,0.32,28465,  X*
171,170.9,771558,17923,4743,1856,3591,1345,1167,1421,44,63, NA,0.08,803604,  X*
172,171.9,31626,30576,21290,1476,3865,976,329,658,35,77, NA,0.48,90796,  X*
173,172.9,7201,8189,717,11204,3684,4611,1625,1508,44,78, NA,0.14,38739,  X*
174,173.9,6455,2299,13918,5530,2465,6511,737,1040,51,81, NA,0.6,38955,  X*
175,174.9,16498,26343,8934,5403,5284,3258,996,576,53,87, NA,0.36,67292,  X*
176,175.9,14088,22441,4950,4655,2850,2399,830,1115,64,80, NA,0.3,53328,  X*
177,176.9,39481,38489,12279,13313,8316,2848,2843,941,50,78, NA,0.32,118510,  X*
178,177.9,183059,64962,27635,5669,35212,13290,4801,2460,44,60, NA,0.29,337088,  X*
179,178.9,35680,16151,5904,6584,4980,3455,2117,1922,48,63, NA,0.28,76793,  X*
180,179.8,6957,9743,12104,2509,5305,4524,856,1263,54,69, NA,0.53,43261,  X*
181,180.8,65009,36673,38556,15415,11818,11318,3130,1936,63,77, NA,0.46,183855,  X
182,181.8,70272,5688,967,472,561,298,203,130,54,74, NA,0.11,78591,  X
183,182.8,52673,20676,8258,4966,18834,3266,4200,4603,51,67, NA,0.27,117476,  X
184,183.8,78988,22805,14497,3652,10640,4299,2229,1490,48,61,43,0.32,138600,  X
185,184.8,124089,21609,18116,19679,13441,9804,1739,1322,50,61, NA,0.29,209799,  X
186,185.8,11918,3947,3771,2883,2057,3388,1326,1472,66,74, NA,0.35,30762,  X
187,186.8,9489,8563,7878,5311,5583,5219,1000,1003,75,81, NA,0.42,44046,  X
188,187.8,18619,8142,4195,7110,2171,3531,1100,1894,78,88, NA,0.3,46762,  X
189,188.8,6336,17706,14740,6547,3954,7382,1317,1388,80,84, NA,0.5,59370,  X
190,189.8,8197,18437,719,3204,2546,2183,1420,462,69,70, NA,0.14,37168,  X
191,190.8,2202,11666,2621,6808,3796,4455,976,1009,67,67, NA,0.28,33533,  X
192,191.8,17722,6471,10518,317,4486,5404,717,1381,74,64, NA,0.47,47016,  X
193,192.8,9235,4839,6127,6623,2180,5611,843,992,77,69, NA,0.41,36450,  X
