obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Blink, Derived, totPwr, class 
292,293.5,703599,66991,36779,72511,26363,30854,12801,8820,41,74,149,0.2,958718,  X
293,295.3,1137237,271658,80013,21973,54891,11205,7274,15784,40,74,49,0.22,1600035,  X
294,295.4, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA,68, NA, NA,  X
295,296.3,42259,14057,833,6131,1961,4491,1254,483,48,63,35,0.11,71469,  X
296,296.8, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA,50, NA, NA,  X
297,297.9,451205,94523,35744,8046,25571,11593,7827,17110,50,63,31,0.23,651619,  X
298,299,351231,214520,21900,22031,39453,24326,21810,27432,43,47, NA,0.17,722703,  X
299,299.9,442465,130117,64135,11541,20100,10498,11758,15158,48,51,62,0.3,705772,  X
300,300.9,337981,68829,5678,11275,6005,4781,3713,7666,38,48,64,0.11,445928,  X
301,301.9,324311,25383,7341,5232,4873,4516,4778,1880,40,50, NA,0.14,378314,  X
302,302.9,85285,157998,38287,2741,5787,2285,5908,1534,23,54, NA,0.36,299825,  X
303,303.9,129653,21381,11501,3752,7208,10423,8463,10173,38,53, NA,0.24,202554,  X
304,304.9,56410,65727,16465,9000,20372,21595,27883,23772,48,53, NA,0.26,241224,  X
305,305.9,62033,102514,25336,11712,5621,11764,11822,15683,44,51,95,0.32,246485,  X
306,306.9,138549,85199,21557,6815,8054,5583,1757,3415,56,53, NA,0.28,270929,  X
307,307.9,186175,79387,2596,15135,6179,7221,1684,4630,47,47, NA,0.09,303007,  X
308,308.9,276122,35041,23347,24648,8251,14191,9469,13545,44,57, NA,0.24,404614,  X
309,309.9,113870,20804,1591,5449,976,2200,4247,1637,44,56, NA,0.1,150774,  X
310,310.8,93049,36995,55527,15631,13139,18293,9788,8012,54,69, NA,0.47,250434,  X
311,311.8,60532,45675,16753,2252,11133,8931,2832,3080,57,74, NA,0.33,151188,  X
312,312.8,23327,71743,4424,14040,4174,4590,3286,5916,48,61, NA,0.18,131500,  X
313,313.8,630301,3160,10300,30601,7647,8106,8689,10939,54,80, NA,0.12,709743,  X
314,314.8,24798,50302,7731,7102,7404,9488,2618,4941,54,64, NA,0.26,114384,  X
315,314.8,6994,12445,4292,9463,7824,11316,3379,2244,64,69, NA,0.27,57957,  X
